"wielkosc":"mnożenie_naiwne":"mnożenie_ulepszone":"mnożenie_BLAS"
1:0.000001:0.000000:0.000002
1:0.000000:0.000000:0.000000
1:0.000001:0.000001:0.000001
1:0.000000:0.000000:0.000000
1:0.000001:0.000000:0.000000
1:0.000001:0.000001:0.000001
1:0.000000:0.000001:0.000001
1:0.000000:0.000000:0.000000
1:0.000000:0.000000:0.000000
1:0.000001:0.000001:0.000000
2:0.000000:0.000001:0.000001
2:0.000000:0.000000:0.000000
2:0.000000:0.000000:0.000000
2:0.000001:0.000001:0.000001
2:0.000000:0.000000:0.000001
2:0.000000:0.000000:0.000000
2:0.000001:0.000001:0.000000
2:0.000000:0.000001:0.000001
2:0.000000:0.000000:0.000000
2:0.000001:0.000001:0.000001
3:0.000001:0.000001:0.000001
3:0.000001:0.000001:0.000001
3:0.000001:0.000001:0.000015
3:0.000000:0.000000:0.000000
3:0.000001:0.000000:0.000000
3:0.000001:0.000010:0.000001
3:0.000000:0.000000:0.000000
3:0.000001:0.000001:0.000001
3:0.000001:0.000000:0.000000
3:0.000000:0.000001:0.000008
4:0.000001:0.000001:0.000000
4:0.000001:0.000001:0.000001
4:0.000001:0.000001:0.000000
4:0.000000:0.000000:0.000000
4:0.000001:0.000001:0.000001
4:0.000000:0.000000:0.000000
4:0.000001:0.000001:0.000001
4:0.000000:0.000000:0.000000
4:0.000001:0.000001:0.000001
4:0.000000:0.000000:0.000000
5:0.000001:0.000001:0.000001
5:0.000001:0.000001:0.000001
5:0.000001:0.000001:0.000008
5:0.000000:0.000000:0.000000
5:0.000001:0.000001:0.000001
5:0.000001:0.000001:0.000001
5:0.000001:0.000001:0.000001
5:0.000000:0.000000:0.000000
5:0.000001:0.000000:0.000000
5:0.000001:0.000001:0.000001
6:0.000001:0.000001:0.000001
6:0.000001:0.000001:0.000001
6:0.000001:0.000000:0.000000
6:0.000001:0.000000:0.000000
6:0.000001:0.000000:0.000000
6:0.000001:0.000000:0.000000
6:0.000001:0.000000:0.000000
6:0.000001:0.000000:0.000000
6:0.000001:0.000000:0.000000
6:0.000001:0.000000:0.000000
7:0.000001:0.000001:0.000000
7:0.000001:0.000001:0.000001
7:0.000001:0.000000:0.000000
7:0.000001:0.000001:0.000001
7:0.000001:0.000001:0.000000
7:0.000000:0.000001:0.000001
7:0.000001:0.000001:0.000000
7:0.000001:0.000001:0.000001
7:0.000001:0.000001:0.000001
7:0.000001:0.000000:0.000001
8:0.000003:0.000001:0.000001
8:0.000001:0.000001:0.000001
8:0.000001:0.000001:0.000001
8:0.000008:0.000001:0.000001
8:0.000001:0.000000:0.000001
8:0.000001:0.000001:0.000001
8:0.000001:0.000001:0.000001
8:0.000001:0.000001:0.000001
8:0.000001:0.000001:0.000000
8:0.000001:0.000001:0.000000
9:0.000002:0.000001:0.000001
9:0.000001:0.000001:0.000001
9:0.000001:0.000001:0.000001
9:0.000002:0.000001:0.000001
9:0.000001:0.000001:0.000001
9:0.000002:0.000001:0.000001
9:0.000001:0.000001:0.000001
9:0.000002:0.000001:0.000001
9:0.000001:0.000001:0.000001
9:0.000002:0.000001:0.000001
10:0.000002:0.000008:0.000002
10:0.000002:0.000001:0.000001
10:0.000002:0.000002:0.000001
10:0.000001:0.000001:0.000001
10:0.000002:0.000002:0.000001
10:0.000001:0.000001:0.000001
10:0.000002:0.000002:0.000001
10:0.000002:0.000001:0.000001
10:0.000002:0.000002:0.000001
10:0.000002:0.000001:0.000002
11:0.000002:0.000002:0.000001
11:0.000002:0.000001:0.000001
11:0.000002:0.000002:0.000001
11:0.000003:0.000002:0.000002
11:0.000002:0.000001:0.000002
11:0.000003:0.000002:0.000001
11:0.000002:0.000001:0.000001
11:0.000003:0.000002:0.000002
11:0.000002:0.000001:0.000001
11:0.000003:0.000002:0.000001
12:0.000003:0.000002:0.000001
12:0.000004:0.000002:0.000001
12:0.000003:0.000002:0.000002
12:0.000004:0.000002:0.000001
12:0.000003:0.000002:0.000001
12:0.000003:0.000002:0.000002
12:0.000003:0.000002:0.000002
12:0.000004:0.000002:0.000001
12:0.000003:0.000002:0.000001
12:0.000003:0.000003:0.000002
13:0.000004:0.000003:0.000002
13:0.000003:0.000003:0.000002
13:0.000004:0.000002:0.000002
13:0.000004:0.000002:0.000001
13:0.000004:0.000003:0.000002
13:0.000003:0.000002:0.000002
13:0.000004:0.000003:0.000002
13:0.000004:0.000003:0.000002
13:0.000004:0.000002:0.000001
13:0.000004:0.000003:0.000002
14:0.000005:0.000003:0.000003
14:0.000005:0.000002:0.000002
14:0.000004:0.000003:0.000002
14:0.000005:0.000003:0.000002
14:0.000005:0.000003:0.000002
14:0.000005:0.000003:0.000002
14:0.000005:0.000003:0.000002
14:0.000005:0.000003:0.000003
14:0.000005:0.000003:0.000002
14:0.000005:0.000002:0.000002
15:0.000006:0.000004:0.000003
15:0.000006:0.000004:0.000002
15:0.000006:0.000003:0.000002
15:0.000005:0.000003:0.000002
15:0.000005:0.000003:0.000002
15:0.000005:0.000003:0.000002
15:0.000005:0.000011:0.000003
15:0.000006:0.000004:0.000003
15:0.000006:0.000004:0.000003
15:0.000006:0.000004:0.000003
16:0.000007:0.000006:0.000003
16:0.000007:0.000004:0.000003
16:0.000007:0.000004:0.000003
16:0.000007:0.000004:0.000003
16:0.000007:0.000004:0.000003
16:0.000006:0.000004:0.000003
16:0.000007:0.000004:0.000003
16:0.000007:0.000004:0.000003
16:0.000007:0.000004:0.000003
16:0.000006:0.000004:0.000003
17:0.000008:0.000004:0.000003
17:0.000008:0.000005:0.000004
17:0.000008:0.000004:0.000003
17:0.000008:0.000005:0.000003
17:0.000008:0.000005:0.000004
17:0.000008:0.000004:0.000003
17:0.000008:0.000005:0.000004
17:0.000008:0.000004:0.000003
17:0.000008:0.000005:0.000004
17:0.000008:0.000004:0.000003
18:0.000009:0.000007:0.000004
18:0.000010:0.000005:0.000004
18:0.000009:0.000005:0.000004
18:0.000009:0.000005:0.000003
18:0.000010:0.000005:0.000004
18:0.000010:0.000006:0.000004
18:0.000009:0.000005:0.000004
18:0.000009:0.000005:0.000003
18:0.000009:0.000005:0.000004
18:0.000010:0.000006:0.000004
19:0.000012:0.000007:0.000005
19:0.000011:0.000006:0.000004
19:0.000011:0.000007:0.000004
19:0.000011:0.000006:0.000005
19:0.000011:0.000006:0.000005
19:0.000011:0.000006:0.000004
19:0.000012:0.000006:0.000004
19:0.000011:0.000006:0.000004
19:0.000011:0.000007:0.000004
19:0.000011:0.000007:0.000004
20:0.000016:0.000009:0.000005
20:0.000013:0.000007:0.000004
20:0.000013:0.000007:0.000033
20:0.000013:0.000022:0.000004
20:0.000013:0.000007:0.000005
20:0.000013:0.000007:0.000005
20:0.000013:0.000007:0.000004
20:0.000013:0.000007:0.000005
20:0.000013:0.000007:0.000005
20:0.000013:0.000007:0.000005
21:0.000016:0.000008:0.000005
21:0.000015:0.000008:0.000006
21:0.000016:0.000008:0.000005
21:0.000015:0.000009:0.000005
21:0.000015:0.000008:0.000006
21:0.000016:0.000008:0.000005
21:0.000015:0.000009:0.000005
21:0.000015:0.000008:0.000006
21:0.000016:0.000008:0.000005
21:0.000015:0.000008:0.000005
22:0.000018:0.000012:0.000006
22:0.000017:0.000009:0.000006
22:0.000017:0.000009:0.000006
22:0.000043:0.000010:0.000007
22:0.000017:0.000009:0.000006
22:0.000017:0.000009:0.000006
22:0.000017:0.000009:0.000007
22:0.000018:0.000010:0.000006
22:0.000018:0.000009:0.000006
22:0.000017:0.000009:0.000007
23:0.000021:0.000010:0.000007
23:0.000020:0.000010:0.000007
23:0.000020:0.000011:0.000007
23:0.000021:0.000011:0.000007
23:0.000020:0.000010:0.000007
23:0.000021:0.000011:0.000007
23:0.000020:0.000010:0.000007
23:0.000020:0.000010:0.000006
23:0.000021:0.000011:0.000007
23:0.000020:0.000010:0.000007
24:0.000024:0.000047:0.000008
24:0.000037:0.000012:0.000008
24:0.000023:0.000012:0.000008
24:0.000023:0.000012:0.000008
24:0.000024:0.000012:0.000008
24:0.000024:0.000012:0.000007
24:0.000023:0.000012:0.000008
24:0.000023:0.000012:0.000008
24:0.000023:0.000012:0.000008
24:0.000023:0.000012:0.000008
25:0.000027:0.000015:0.000009
25:0.000027:0.000014:0.000009
