"wielkosc","mnożenie_naiwne","mnożenie_ulepszone","mnożenie_BLAS"
19,0.000005,0.000003,0.000004
19,0.000005,0.000003,0.000004
19,0.000005,0.000004,0.000011
19,0.000005,0.000004,0.000005
19,0.000005,0.000003,0.000005
20,0.000007,0.000006,0.000005
20,0.000006,0.000003,0.000005
20,0.000006,0.000003,0.000005
20,0.000005,0.000003,0.000005
20,0.000006,0.000008,0.000009
20,0.000006,0.000004,0.000006
20,0.000006,0.000003,0.000004
20,0.000006,0.000004,0.000005
20,0.000006,0.000003,0.000005
20,0.000006,0.000003,0.000005
21,0.000007,0.000004,0.000005
21,0.000013,0.000004,0.000006
21,0.000007,0.000003,0.000006
21,0.000007,0.000003,0.000005
21,0.000007,0.000004,0.000005
21,0.000007,0.000004,0.000006
21,0.000007,0.000003,0.000005
21,0.000007,0.000004,0.000013
21,0.000007,0.000004,0.000006
21,0.000006,0.000017,0.000005
22,0.000008,0.000008,0.000007
22,0.000008,0.000005,0.000006
22,0.000008,0.000008,0.000011
22,0.000008,0.000004,0.000007
22,0.000008,0.000004,0.000006
22,0.000007,0.000004,0.000006
22,0.000008,0.000004,0.000006
22,0.000008,0.000004,0.000006
22,0.000011,0.000009,0.000006
22,0.000008,0.000004,0.000006
23,0.000010,0.000005,0.000008
23,0.000009,0.000005,0.000007
23,0.000009,0.000004,0.000007
23,0.000013,0.000008,0.000008
23,0.000009,0.000005,0.000007
23,0.000009,0.000004,0.000007
23,0.000009,0.000005,0.000007
23,0.000009,0.000005,0.000007
23,0.000013,0.000009,0.000007
23,0.000009,0.000005,0.000007
24,0.000011,0.000008,0.000008
24,0.000010,0.000005,0.000007
24,0.000011,0.000005,0.000008
24,0.000011,0.000006,0.000008
24,0.000010,0.000006,0.000008
24,0.000010,0.000005,0.000008
24,0.000010,0.000005,0.000007
24,0.000011,0.000005,0.000008
24,0.000011,0.000005,0.000008
24,0.000011,0.000006,0.000008
25,0.000012,0.000007,0.000009
25,0.000012,0.000010,0.000014
25,0.000012,0.000005,0.000009
25,0.000012,0.000005,0.000009
25,0.000011,0.000006,0.000022
25,0.000017,0.000009,0.000010
25,0.000012,0.000006,0.000009
25,0.000012,0.000006,0.000009
25,0.000012,0.000005,0.000009
25,0.000012,0.000013,0.000011
26,0.000013,0.000010,0.000010
26,0.000014,0.000007,0.000010
26,0.000013,0.000006,0.000015
26,0.000014,0.000007,0.000011
26,0.000013,0.000006,0.000009
26,0.000013,0.000006,0.000010
26,0.000014,0.000007,0.000018
26,0.000014,0.000007,0.000011
26,0.000013,0.000007,0.000010
26,0.000013,0.000006,0.000010
27,0.000022,0.000008,0.000012
27,0.000015,0.000007,0.000011
27,0.000015,0.000007,0.000011
27,0.000015,0.000012,0.000012
27,0.000014,0.000007,0.000010
27,0.000015,0.000007,0.000011
27,0.000014,0.000007,0.000011
27,0.000021,0.000007,0.000012
27,0.000014,0.000007,0.000010
27,0.000015,0.000007,0.000011
28,0.000035,0.000013,0.000013
28,0.000016,0.000008,0.000012
28,0.000017,0.000008,0.000016
28,0.000018,0.000007,0.000013
28,0.000017,0.000008,0.000013
28,0.000046,0.000008,0.000013
28,0.000016,0.000008,0.000012
28,0.000017,0.000008,0.000012
28,0.000023,0.000008,0.000013
28,0.000017,0.000008,0.000012
29,0.000018,0.000012,0.000021
29,0.000018,0.000008,0.000014
29,0.000018,0.000008,0.000013
29,0.000018,0.000009,0.000023
29,0.000018,0.000008,0.000027
29,0.000018,0.000009,0.000013
29,0.000025,0.000009,0.000015
29,0.000018,0.000009,0.000013
29,0.000018,0.000009,0.000013
29,0.000025,0.000009,0.000014
30,0.000021,0.000013,0.000015
30,0.000023,0.000014,0.000016
30,0.000020,0.000009,0.000014
30,0.000020,0.000009,0.000016
30,0.000024,0.000010,0.000015
30,0.000020,0.000009,0.000014
30,0.000020,0.000015,0.000017
30,0.000020,0.000009,0.000014
30,0.000020,0.000009,0.000014
30,0.000027,0.000009,0.000016
31,0.000022,0.000010,0.000016
31,0.000026,0.000013,0.000017
31,0.000022,0.000010,0.000016
31,0.000034,0.000019,0.000018
31,0.000022,0.000010,0.000016
31,0.000022,0.000010,0.000022
31,0.000022,0.000010,0.000017
31,0.000022,0.000010,0.000016
31,0.000028,0.000011,0.000017
31,0.000021,0.000010,0.000015
32,0.000025,0.000016,0.000017
32,0.000024,0.000011,0.000017
32,0.000024,0.000011,0.000018
32,0.000024,0.000011,0.000017
32,0.000024,0.000012,0.000027
32,0.000024,0.000011,0.000018
32,0.000025,0.000011,0.000026
32,0.000024,0.000011,0.000019
32,0.000024,0.000011,0.000017
32,0.000043,0.000011,0.000019
33,0.000026,0.000013,0.000028
33,0.000026,0.000012,0.000021
33,0.000026,0.000016,0.000025
33,0.000026,0.000012,0.000019
33,0.000026,0.000013,0.000027
33,0.000026,0.000012,0.000018
33,0.000026,0.000012,0.000028
33,0.000026,0.000012,0.000019
33,0.000026,0.000012,0.000028
33,0.000029,0.000012,0.000019
34,0.000035,0.000018,0.000022
34,0.000029,0.000013,0.000020
34,0.000036,0.000014,0.000023
34,0.000052,0.000020,0.000022
34,0.000029,0.000013,0.000021
34,0.000036,0.000013,0.000023
34,0.000029,0.000014,0.000021
34,0.000036,0.000014,0.000022
34,0.000028,0.000013,0.000020
34,0.000034,0.000013,0.000022
35,0.000036,0.000024,0.000030
35,0.000035,0.000016,0.000038
35,0.000035,0.000017,0.000029
35,0.000041,0.000017,0.000030
35,0.000035,0.000046,0.000039
35,0.000035,0.000016,0.000037
35,0.000035,0.000016,0.000031
35,0.000041,0.000017,0.000030
35,0.000034,0.000017,0.000037
35,0.000034,0.000017,0.000030
36,0.000041,0.000019,0.000026
36,0.000034,0.000025,0.000026
36,0.000034,0.000015,0.000024
36,0.000041,0.000016,0.000026
36,0.000034,0.000016,0.000073
36,0.000060,0.000016,0.000026
36,0.000046,0.000033,0.000029
36,0.000034,0.000028,0.000044
36,0.000034,0.000016,0.000040
36,0.000051,0.000015,0.000026
37,0.000055,0.000023,0.000029
37,0.000040,0.000021,0.000029
37,0.000037,0.000016,0.000035
37,0.000037,0.000017,0.000055
37,0.000044,0.000017,0.000028
37,0.000036,0.000025,0.000029
37,0.000037,0.000017,0.000031
37,0.000037,0.000017,0.000028
37,0.000041,0.000020,0.000028
37,0.000036,0.000016,0.000035
38,0.000040,0.000024,0.000037
38,0.000040,0.000018,0.000030
38,0.000047,0.000018,0.000031
38,0.000040,0.000044,0.000031
38,0.000040,0.000017,0.000028
38,0.000040,0.000018,0.000028
38,0.000040,0.000017,0.000028
38,0.000040,0.000018,0.000039
38,0.000040,0.000018,0.000031
38,0.000047,0.000018,0.000031
39,0.000050,0.000019,0.000033
39,0.000050,0.000019,0.000033
39,0.000043,0.000021,0.000039
39,0.000056,0.000019,0.000042
39,0.000043,0.000019,0.000034
39,0.000048,0.000019,0.000033
39,0.000050,0.000019,0.000033
39,0.000043,0.000028,0.000033
39,0.000043,0.000019,0.000041
39,0.000043,0.000019,0.000030
40,0.000050,0.000029,0.000049
40,0.000050,0.000037,0.000049
40,0.000050,0.000024,0.000049
40,0.000050,0.000023,0.000048
40,0.000050,0.000023,0.000048
40,0.000050,0.000024,0.000044
40,0.000050,0.000024,0.000043
40,0.000057,0.000024,0.000042
40,0.000056,0.000024,0.000042
40,0.000096,0.000024,0.000050
41,0.000050,0.000031,0.000038
41,0.000050,0.000022,0.000046
41,0.000050,0.000022,0.000047
41,0.000049,0.000022,0.000045
41,0.000049,0.000022,0.000043
41,0.000050,0.000022,0.000038
41,0.000049,0.000036,0.000035
41,0.000049,0.000022,0.000035
41,0.000057,0.000022,0.000038
41,0.000056,0.000022,0.000038
42,0.000058,0.000035,0.000055
42,0.000057,0.000027,0.000055
42,0.000057,0.000036,0.000048
42,0.000073,0.000032,0.000048
42,0.000065,0.000028,0.000048
42,0.000072,0.000028,0.000048
42,0.000069,0.000028,0.000048
42,0.000064,0.000027,0.000052
42,0.000057,0.000027,0.000054
42,0.000058,0.000028,0.000065
43,0.000058,0.000037,0.000044
43,0.000065,0.000026,0.000043
43,0.000065,0.000026,0.000044
43,0.000064,0.000026,0.000068
43,0.000065,0.000026,0.000044
43,0.000064,0.000026,0.000048
43,0.000081,0.000025,0.000052
43,0.000057,0.000025,0.000052
43,0.000057,0.000029,0.000049
43,0.000057,0.000034,0.000044
44,0.000073,0.000037,0.000056
44,0.000065,0.000031,0.000054
44,0.000066,0.000051,0.000056
44,0.000073,0.000032,0.000056
44,0.000072,0.000031,0.000063
44,0.000065,0.000031,0.000063
44,0.000066,0.000039,0.000056
44,0.000073,0.000031,0.000056
44,0.000085,0.000031,0.000063
44,0.000066,0.000036,0.000058
45,0.000073,0.000029,0.000050
45,0.000073,0.000029,0.000058
45,0.000065,0.000028,0.000057
45,0.000066,0.000038,0.000050
45,0.000074,0.000029,0.000050
45,0.000073,0.000029,0.000050
45,0.000071,0.000029,0.000058
45,0.000093,0.000030,0.000051
45,0.000072,0.000029,0.000050
45,0.000072,0.000029,0.000081
46,0.000077,0.000041,0.000049
46,0.000078,0.000031,0.000059
46,0.000070,0.000031,0.000048
46,0.000070,0.000031,0.000049
46,0.000078,0.000031,0.000053
46,0.000090,0.000031,0.000061
46,0.000070,0.000039,0.000054
46,0.000077,0.000031,0.000053
